Layers,Result,Rate,Iterations
"(7,)",0.7867810063452733,0.4,10
"(7,)",0.7472407265050494,0.5,10
"(7,)",0.7391818997455204,0.6000000000000001,10
"(7,)",0.77451341209955,0.7000000000000002,10
"(7,)",0.7742388930821253,0.3,50
"(7,)",0.794588392912903,0.4,50
"(7,)",0.7394515365043937,0.5,50
"(7,)",0.7808659357042838,0.6000000000000001,50
"(7,)",0.7717166411153238,0.7000000000000002,50
"(7,)",0.7352727242932875,0.3,100
"(7,)",0.7877884186280326,0.4,100
"(7,)",0.8048518041274526,0.5,100
"(7,)",0.7808887511099637,0.6000000000000001,100
"(7,)",0.774286128395702,0.7000000000000002,100
"(7,)",0.7907751400174999,0.3,500
"(7,)",0.7670235830103627,0.4,500
"(7,)",0.7842801651337242,0.5,500
"(7,)",0.7907443644947648,0.6000000000000001,500
"(7,)",0.7809908460962933,0.7000000000000002,500
"(7,)",0.7838461139672694,0.3,1000
"(7,)",0.7725267512358671,0.4,1000
"(7,)",0.7965529382604127,0.5,1000
"(7,)",0.7827435900467554,0.6000000000000001,1000
"(7,)",0.7579629450263509,0.7000000000000002,1000
"(7,)",0.7701816278443732,0.3,5000
"(7,)",0.7418766995739245,0.4,5000
"(7,)",0.7837220663212907,0.5,5000
"(7,)",0.7504500773285987,0.6000000000000001,5000
"(7,)",0.8025756796167547,0.7000000000000002,5000
"(7,)",0.749988049598793,0.3,10000
"(7,)",0.7819341838097176,0.4,10000
"(7,)",0.7523569449473468,0.5,10000
"(7,)",0.7887517039015459,0.6000000000000001,10000
"(7,)",0.7595776806335303,0.7000000000000002,10000
"(8,)",0.5536762250610133,0.3,1
"(8,)",0.5934217869682649,0.4,1
"(8,)",0.4374762041616229,0.5,1
"(8,)",0.47605452966332307,0.6000000000000001,1
"(8,)",0.4110023027160383,0.7000000000000002,1
"(8,)",0.8040359271845153,0.3,5
"(8,)",0.7924258811397625,0.4,5
"(8,)",0.8157344366841703,0.5,5
"(8,)",0.7897148231267346,0.6000000000000001,5
"(8,)",0.7628210833680191,0.7000000000000002,5
"(8,)",0.7907108874065865,0.3,10
"(8,)",0.8056687218874284,0.4,10
"(8,)",0.7671279820279312,0.5,10
"(8,)",0.8017306790618145,0.6000000000000001,10
"(8,)",0.7984126968403443,0.7000000000000002,10
"(8,)",0.7684640952278438,0.3,50
"(8,)",0.7825656433567183,0.4,50
"(8,)",0.8036117755023955,0.5,50
"(8,)",0.7667409729988377,0.6000000000000001,50
"(8,)",0.7676026518791399,0.7000000000000002,50
"(8,)",0.7872941206812174,0.3,100
"(8,)",0.7773144643591066,0.4,100
"(8,)",0.7677951575727184,0.5,100
"(8,)",0.7264478097327463,0.6000000000000001,100
"(8,)",0.7913407113718778,0.7000000000000002,100
"(8,)",0.7226183741057063,0.3,500
"(8,)",0.721257660332166,0.4,500
